UNIVERSITIES,ADDRESS
North Carolina State University at Raleigh,"2101 Hillsborough St, Raleigh, NC"
Appalachian State University,"287 Rivers St, Boone, NC"
University of North Carolina at Charlotte,"9201 University City Blvd, Charlotte, NC"
University of North Carolina at Chapel Hill,"216 Lenoir Dr, Chapel Hill, NC"
Duke University,"103 Allen Bldg, Durham, NC"
East Carolina University,"East 5th St, Greenville, NC"
University of North Carolina Wilmington,"601 South College Rd, Wilmington, NC"
University of North Carolina at Greensboro,"1400 Spring Garden St, Greensboro, NC"
Western Carolina University,"1 University Way, Cullowhee, NC"
North Carolina A & T State University,"1601 E Market St, Greensboro, NC"
Davidson College,"405 N Main St, Davidson, NC"
North Carolina Central University,"1801 Fayetteville Street, Durham, NC"
Fayetteville State University,"1200 Murchison Rd, Fayetteville, NC"
Elon University,"100 Campus Drive, Elon, NC"
Wake Forest University,"1834 Wake Forest Rd, Winston-Salem, NC"
University of North Carolina at Asheville,"2500 University Heights, Asheville, NC"
University of North Carolina School of the Arts,"1533 S Main St, Winston-Salem, NC"
University of North Carolina at Pembroke,"1 University Drive, Pembroke, NC"
High Point University,"1 N University Pkwy, High Point, NC"
Meredith College,"3800 Hillsborough St, Raleigh, NC"